TICKER,PERIOD,DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOL,OPENINT
^SPX,5,20220920,205000,3848.16,3848.16,3843.92,3844.3,15005252,0
^SPX,5,20220920,205500,3844.54,3850.51,3843.8,3848.23,14239174,0
^SPX,5,20220920,210000,3848.16,3854.75,3847.75,3849.74,17879340,0
^SPX,5,20220920,210500,3849.84,3850.03,3844.36,3844.36,15578041,0
^SPX,5,20220920,211000,3845.25,3850.71,3844.76,3850.19,15460746,0
^SPX,5,20220920,211500,3849.99,3852.44,3848.49,3852.44,17112478,0
^SPX,5,20220920,212000,3852.54,3857.56,3852.12,3856.97,20646285,0
^SPX,5,20220920,212500,3856.62,3859.89,3856.31,3857.39,20453856,0
^SPX,5,20220920,213000,3856.96,3859.49,3850.65,3859.49,24983221,0
^SPX,5,20220920,213500,3859.76,3867.61,3859.21,3866.62,27958208,0
^SPX,5,20220920,214000,3866.56,3867.43,3862.92,3866.99,27814184,0
^SPX,5,20220920,214500,3867.23,3869.66,3863.06,3864.62,37739351,0
